Country,IP Address,Timestamp,URL,Browser Type,Referral URL
Canada,203.0.113.4,19:16:31,/judo.html,Google Chrome,Facebook
Iran,203.0.113.9,13:55:29,/images/games.jpg,Microsoft Edge,Facebook
Cuba,192.0.2.5,07:28:41,/weightlifting.html,Safari,Facebook
Italy,192.0.2.10,06:40:26,/fencing.html,Safari,Twitter
China,198.51.100.5,07:43:33,/sailing.html,Microsoft Edge,Facebook
Bangladesh,203.0.113.3,17:50:28,/football.html,Opera,Facebook
Albania,203.0.113.1,00:05:01,/karate.html,Safari,Facebook
Italy,192.0.2.10,16:16:02,/boxing.html,Safari,Google Search
Brazil,198.51.100.4,20:59:19,/volleyball.html,Mozilla Firefox,Facebook
Brazil,198.51.100.4,04:21:16,/judo.html,Microsoft Edge,Facebook
Egypt,192.0.2.6,09:44:21,/fencing.html,Safari,Facebook
Iraq,192.0.2.9,12:02:16,/sailing.html,Internet Explorer,Facebook
Saudi Arabia,198.51.100.17,18:27:14,/Triathalon.html,Safari,Facebook
Ireland,198.51.100.10,15:36:05,/sailing.html,Internet Explorer,Facebook
Mexico,192.0.2.12,13:40:30,/swimming.html,Microsoft Edge,Google Search
Angola,198.51.100.2,17:45:09,/tabletennis.html,Mozilla Firefox,Facebook
Afghanistan,198.51.100.1,16:52:23,/tabletennis.html,Mozilla Firefox,Twitter
Iraq,192.0.2.9,09:00:25,/olympics.html,Safari,Facebook
Afghanistan,198.51.100.1,16:03:47,/images/games.jpg,Google Chrome,Facebook
Nepal,203.0.113.13,12:03:14,/index.html,Internet Explorer,LinkedIn
Czech Republic,198.51.100.6,16:39:36,/judo.html,Microsoft Edge,Facebook
Japan,198.51.100.11,21:32:04,/basketball.html,Google Chrome,Facebook
Austria,198.51.100.3,10:10:55,/trackandfield.html,Mozilla Firefox,Facebook
Bangladesh,203.0.113.3,05:47:01,/trackandfield.html,Mozilla Firefox,Facebook
France,203.0.113.7,08:49:46,/equestrian.html,Microsoft Edge,Twitter
Lebanon,198.51.100.12,10:56:00,/index.html,Mozilla Firefox,LinkedIn
Malaysia,203.0.113.12,08:21:34,/football.html,Microsoft Edge,Facebook
Israel,203.0.113.10,21:42:22,/rowing.html,Internet Explorer,Facebook
Germany,192.0.2.7,05:48:13,/gymnastics.html,Google Chrome,Facebook
India,192.0.2.8,23:55:50,/rowing.html,Microsoft Edge,Facebook
Indonesia,198.51.100.9,19:39:01,/boxing.html,Internet Explorer,Twitter
Colombia,203.0.113.5,06:58:19,/football.html,Internet Explorer,Facebook
Portugal,198.51.100.16,18:50:36,/boxing.html,Google Chrome,Twitter
Czech Republic,198.51.100.6,22:59:03,/basketball.html,Mozilla Firefox,Facebook
Kenya,203.0.113.11,07:12:54,/judo.html,Opera,Twitter
Singapore,203.0.113.17,23:18:58,/trackandfield.html,Opera,Twitter
Albania,203.0.113.1,00:31:30,/swimming.html,Microsoft Edge,Facebook
Indonesia,198.51.100.9,09:18:22,/boxing.html,Google Chrome,Facebook
Albania,203.0.113.1,13:41:57,/diving.html,Mozilla Firefox,Google Search
South Africa,192.0.2.17,06:28:42,/searchsports.php,Google Chrome,Facebook
Egypt,192.0.2.6,08:50:36,/basketball.html,Opera,Facebook
Argentina,203.0.113.2,09:00:12,/index.html,Safari,Google Search
Ireland,198.51.100.10,22:33:42,/equestrian.html,Safari,Twitter
Australia,192.0.2.2,15:19:17,/sailing.html,Google Chrome,Facebook
Pakistan,198.51.100.15,07:39:11,/index.html,Safari,Google Search
Romania,203.0.113.16,09:38:44,/football.html,Opera,Twitter
Portugal,198.51.100.16,23:34:53,/sailing.html,Microsoft Edge,Facebook
Iraq,192.0.2.9,06:55:21,/karate.html,Google Chrome,Facebook
Kenya,203.0.113.11,23:13:48,/handball.html,Microsoft Edge,Facebook
Morocco,198.51.100.13,04:53:59,/tennis.html,Opera,Twitter
Hungary,203.0.113.8,14:37:27,/handball.html,Mozilla Firefox,LinkedIn
Poland,192.0.2.15,15:51:39,/rowing.html,Google Chrome,Facebook
South Korea,192.0.2.11,00:07:26,/index.html,Mozilla Firefox,Facebook
Ireland,198.51.100.10,06:25:51,/basketball.html,Google Chrome,Facebook
Australia,192.0.2.2,07:46:33,/karate.html,Microsoft Edge,Twitter
Saudi Arabia,198.51.100.17,16:32:52,/handball.html,Internet Explorer,Twitter
Canada,203.0.113.4,16:16:41,/olympics.html,Internet Explorer,Google Search
Finland,198.51.100.7,08:34:05,/weightlifting.html,Opera,Facebook
India,192.0.2.8,22:32:24,/boxing.html,Microsoft Edge,Facebook
Israel,203.0.113.10,11:48:29,/judo.html,Google Chrome,Facebook
Finland,198.51.100.7,08:57:32,/images/games.jpg,Opera,Facebook
Colombia,203.0.113.5,08:47:57,/equestrian.html,Opera,Facebook
South Korea,192.0.2.11,07:20:06,/swimming.html,Opera,Facebook
Angola,198.51.100.2,06:12:25,/handball.html,Internet Explorer,Facebook
Malaysia,203.0.113.12,02:07:49,/tabletennis.html,Google Chrome,Facebook
Afghanistan,198.51.100.1,12:23:16,/searchsports.php,Microsoft Edge,Facebook
Bangladesh,203.0.113.3,10:25:55,/rowing.html,Internet Explorer,Facebook
Poland,192.0.2.15,15:39:17,/handball.html,Mozilla Firefox,Facebook
Afghanistan,198.51.100.1,17:08:34,/judo.html,Microsoft Edge,Facebook
Belgium,192.0.2.3,16:36:06,/olympics.html,Internet Explorer,Twitter
Portugal,198.51.100.16,21:53:18,/diving.html,Internet Explorer,Facebook
Chile,192.0.2.4,21:40:31,/karate.html,Opera,Google Search
Pakistan,198.51.100.15,07:43:24,/judo.html,Safari,Twitter
